Company,Name,Phone,Website,City,Category
Insurance Broker,Naveed,(226) 600-9416,thebig.ca/rafay,Milton,Insurance
OM Financial (MiLife),Omer Khawaja,(647) 447-6090,omfinancial.com/,Mississauga,Insurance
RBC mortgage specialist,Saad,(647) 867-5017,Zain.khan@rbc.com,Brampton,Financial Services
Kitchener SEO And Web Design,Zain Ul Abidin,(519) 329-4666,zaindigitalmarketer@gmail.com,Kitchener,Digital Marketing
Gifted Drivers of Canada,Saad Yaseen,(416) 418-0445,gifteddrivers.ca,Mississauga,Driving School
Travlin Hub Ltd.,Umair Abbasi,(647) 620-8785,travlinhub.com,Oakville,Travel Services
Triplanner Inc,Waqas Zahid,(416) 876-3646,fb.com/share/15ZALBoqRa/,Pickering,Travel Services
Matchless Travels Inc,Husnain Sheikh,(289) 795-4588,matchlesstravels.ca,Mississauga,Travel Services
Travel & Holiday Specialist,Waqas,(416) 876-3646,wzahid@yahoo.co.uk,Online,Travel Services
Express Auto Solutions Inc,Shahid Mirza,(647) 226-1866,fb.com/share/16ZKvqEvzj/,Mississauga,Automotive
Khew-Saltz,Umair Abbasi,(437) 533-5577,fb.com/KhewSaltz,GTA,Consumer Goods
Packaging Depot,Saad jejjawi,(226) 759-5967,fb.com/packagingdepotwindsor,Windsor,Shipping & Logistics
Sherwood Forrest Dental Mississauga,Ali Qureshi,(905) 257-2672,sherwoodforrestdental.com,Mississauga,Dental Services
Creative Expressions,Mir Yazdan Ali,(416) 845-9776,instagram.com/creativeexpressionsbym,Milton,Gifts
Swish Blendz,Wahaj Siddiqui,(647) 679-7629,mcutz.ca,Mississauga,Personal Care
Faraz Technology Services Corp.,Faraz Sohail,(226) 246-9815,ftscorp.ca,Windsor,IT & Software Services
Detailing Squad,Zain Ul Aba,(647) 894-9572,detailingsquad.ca,Mississauga,Automotive
1st Step Car Driving School,Mirza Tahir,(647) 770-7811,fb.com/share/1AnTNVu28L/,GTA,Driving School
SG Canada Inc,Asad Abbas,(647) 773-4663,sgcanadainc.com,Brampton,Automotive
Hamza Investments & Insurance,Hamza Jilani,(437) 259-9213,,Mississauga,Insurance
Charsi Karahi & BBQ,Jamshed Waryah,(647) 772-4302,charsikarahibbq.com,Mississauga,Food & Beverage
Big Blue Inc,Nabeel Zuberi,(289) 835-7593,bigblueinc.ca,Mississauga,Shipping & Logistics
King's Billiard Lounge & Eatery,Nabeel Hussainy,(905) 749-5464,kingsbilliardlounge.com,Mississauga,Event Services
Bolt Digital Marketing,Kamil Mahmood,(416) 833-4490,boltdgital.ca,Mississauga,Digital Marketing
All Season Driving School,Muhammad Hammad,(647) 778-4573,Wa.me/+16477784573,Mississauga,Driving School
Real Estate Agent Ipro Realty Ltd,Asim Khan,(647) 740-2553,iprorealty.com/,Durham Region - Bowmanville,Real Estate
Telus Sales Representatives,Saqib Mohammad,(437) 663-4879,,Toronto,Telecommunications
Insurance Broker BIG Insurance,Muhammad Rameez,(416) 569-7249,,Milton,Insurance
Rai Grant Insurance Brokers,Mohsin Ali,(416) 500-4539,nasirali.ca/,Markham,Insurance
Global Axis Immigration Services Inc.,Umer Naeem Sheikh,(437) 533-8481,globalaxisimmigration.com/,Mississauga,Immigration Services
Oracle RMS,Akbar Naveed,(437) 771-6815,insurancebroker-ontario.com,Brampton,Insurance
Waseem Airbnb,Muhammad Waseem,(647) 824-9473,airbnb.com/h/waseemharoon,Mississauga,Travel & Short-Term Rentals
Life & Health Insurance / Registered Saving Plans,Ashfaq ur-Rahim,(416) 828-4054,agents.wfgcanada.ca/ashfaq-ur-rahim,Toronto,Insurance
Protouch Renovation,Masood Mirza,(437) 577-2577,,Mississauga,Construction
The Wall Tax Inc,Syed Mahad; Saad(SK),(647) 297-4793,,Brampton,Accounting
The Grey Studio,Talal Tanoli,(437) 477-3191,,Mississauga,Photography
Smoke & Sip,Rana Khaliq,(437) 777-2024,share.google/gRQju0SKiVHGkAwtn,Windsor,Restaurant
KJ Accounting & Tax Professional Corporation,Khizar Mirza,(289) 991-0909,,Whitby,Accounting
Fork & Knife,Mohsin Sabir,(519) 991-7291,,Windsor,Food & Beverage
Canada Appliances Repair Inc.,Simply SK,(514) 679-8660,canadaappliancesrepair.ca,Mississauga,Appliance Repair
Hb Real Estate,Syed Haider Bokhari,(647) 960-9179,haiderbokhari.com,Milton,Real Estate
Technical Hands,Syed Khalid,(437) 221-7138,,Mississauga,Handyman Services
Autoland of Delhi,Saad Khan,(204) 869-1396,autolandofdelhi.ca,Simcoe,Automotive Parts
Real Estate Agent,Syed,(905) 598-4735,www.realtorsr.com,Brampton,Real Estate
Dentistry,Saiful haque,(647) 451-3941,,Cambridge / Vaughan / Etobicoke,Dental Services
Auto Insurance,Zaeem,(825) 461-6454,,Brampton,Insurance
Furniture Mattresses & Appliances,Muhammad Fahad Saeed,(312) 536-2824,,Mississauga,Furniture & Appliances
GTA Assemble Xperts,Sajeel Ahmed,(437) 421-6371,www.instagram.com/gta_assemblexperts,Brampton,Handyman Services
The Cue Club,Saad; Naveed; Umair Javed; Murtaza Mehdi; Rameez,(647) 617-4638,,Milton,Entertainment
